note,other_group,group
Galanga,"Alpinia Officinarum; Other names: galangal, blue ginger, Chinese ginger",Group: SPICES
Ginger,Zingiber officinale;,Group: SPICES
Green Coffee,Coffea Arabica (Rubiaceae);,Group: SPICES
Guinea Pepper,Aframomum Melegueta;,Group: SPICES
Indian Spices,N/A,Group: SPICES
Kaempferia Galanga,Kaempferia Galanga;,Group: SPICES
Kopi Luwak Coffee,N/A,Group: SPICES
Licorice,Glycyrrhiza glabra;,Group: SPICES
Mace,Myristica;,Group: SPICES
Mustard Seed,Brassica Nigra;,Group: SPICES
Nutmeg,Myristica fragrans;,Group: SPICES
Oily Notes,N/A,Group: SPICES
Oriental Notes,N/A,Group: SPICES
Pepper,Piper nigrum (Piperaceae);,Group: SPICES
Peppertree,Schinus Molle;,Group: SPICES
Pimento,"Capsicum; Other names: pimiento, cherry pepper",Group: SPICES
Pimento Leaf,N/A,Group: SPICES
Pink Pepper,"Schinus molle (Anacardiaceae); Other names: pink peppercorn, baies roses, poivre rosé, faux poivre",Group: SPICES
Priprioca,Cyperus articulatus;,Group: SPICES
Saffron,Crocus Sativus Linneaus;,Group: SPICES
Safraleine,N/A,Group: SPICES
Sesame,Sesamum indicum;,Group: SPICES
Siam Cardamom,Wurfbainia Vera;,Group: SPICES
Sichuan Pepper,"Zanthoxylum (Z. piperitum, Z. simulans, Z. sancho and Z. schinifolium); Other names: Szechuan Pepper, Szechwan Pepper",Group: SPICES
Star Anise,Illicium Verum (Illiciaceae);,Group: SPICES
Sumac,Sumac;,Group: SPICES
Tamarind,Tamarindus indica;,Group: SPICES
Timur,N/A,Group: SPICES
Tonka Bean,Dipterix Odorata;,Group: SPICES
Toscanol,N/A,Group: SPICES
Ultravanil™,N/A,Group: SPICES
Vanilla,N/A,Group: SPICES
Wan Sao Lhong,Amomum Biflorum Jack;,Group: SPICES
Wasabi,Eutrema japonicum;,Group: SPICES
Water Pepper,Persicaria Hydropiper;,Group: SPICES
West Indian Bay,Pimenta racemosa (Myrtaceae);,Group: SPICES
Acetyl Furan,N/A,Group: SWEETS AND GOURMAND SMELLS
Agave Nectar,N/A,Group: SWEETS AND GOURMAND SMELLS
Apple Pie,N/A,Group: SWEETS AND GOURMAND SMELLS
Baba (Italian dessert),N/A,Group: SWEETS AND GOURMAND SMELLS
Baked Apple,N/A,Group: SWEETS AND GOURMAND SMELLS
Baklava,N/A,Group: SWEETS AND GOURMAND SMELLS
Biscuit,N/A,Group: SWEETS AND GOURMAND SMELLS
Bonbon,N/A,Group: SWEETS AND GOURMAND SMELLS
Bread,N/A,Group: SWEETS AND GOURMAND SMELLS
Brioche,N/A,Group: SWEETS AND GOURMAND SMELLS
Brown Sugar,N/A,Group: SWEETS AND GOURMAND SMELLS
Brownie,N/A,Group: SWEETS AND GOURMAND SMELLS
Bubbaloo,N/A,Group: SWEETS AND GOURMAND SMELLS
Bubble Gum,N/A,Group: SWEETS AND GOURMAND SMELLS
Burnt Sugar,N/A,Group: SWEETS AND GOURMAND SMELLS
Butter,N/A,Group: SWEETS AND GOURMAND SMELLS
Buttercream,N/A,Group: SWEETS AND GOURMAND SMELLS
Cacao Butter,Theobroma Cacao;,Group: SWEETS AND GOURMAND SMELLS
Cake,N/A,Group: SWEETS AND GOURMAND SMELLS
Calissons d'Aix,N/A,Group: SWEETS AND GOURMAND SMELLS
Candied Fruits,N/A,Group: SWEETS AND GOURMAND SMELLS
Candied Ginger,N/A,Group: SWEETS AND GOURMAND SMELLS
Candied Orange,N/A,Group: SWEETS AND GOURMAND SMELLS
Candies,N/A,Group: SWEETS AND GOURMAND SMELLS
Canelé,N/A,Group: SWEETS AND GOURMAND SMELLS
Caramel,N/A,Group: SWEETS AND GOURMAND SMELLS
Cassata Siciliana,N/A,Group: SWEETS AND GOURMAND SMELLS
Cereals,N/A,Group: SWEETS AND GOURMAND SMELLS
Cheesecake,N/A,Group: SWEETS AND GOURMAND SMELLS
Cherry Milk,N/A,Group: SWEETS AND GOURMAND SMELLS
Cherry Syrup,N/A,Group: SWEETS AND GOURMAND SMELLS
Chocolate Fudge,N/A,Group: SWEETS AND GOURMAND SMELLS
Chocolate Truffle,N/A,Group: SWEETS AND GOURMAND SMELLS
Churros,N/A,Group: SWEETS AND GOURMAND SMELLS
Coconut Pie,N/A,Group: SWEETS AND GOURMAND SMELLS
Coconut Powder,N/A,Group: SWEETS AND GOURMAND SMELLS
Condensed Milk,N/A,Group: SWEETS AND GOURMAND SMELLS
Cone Waffle,N/A,Group: SWEETS AND GOURMAND SMELLS
Confetti (Sugared Almonds),N/A,Group: SWEETS AND GOURMAND SMELLS
Cookie,N/A,Group: SWEETS AND GOURMAND SMELLS
Cookie Dough,N/A,Group: SWEETS AND GOURMAND SMELLS
Cosmofruit™ (IFF),N/A,Group: SWEETS AND GOURMAND SMELLS
Cotton Candy,N/A,Group: SWEETS AND GOURMAND SMELLS
Cream,N/A,Group: SWEETS AND GOURMAND SMELLS
Creamsicle,N/A,Group: SWEETS AND GOURMAND SMELLS
Crème Brûlée,N/A,Group: SWEETS AND GOURMAND SMELLS
Croissant,N/A,Group: SWEETS AND GOURMAND SMELLS
Cupcake,N/A,Group: SWEETS AND GOURMAND SMELLS
Custard,N/A,Group: SWEETS AND GOURMAND SMELLS
Dark Chocolate,N/A,Group: SWEETS AND GOURMAND SMELLS
Dates,Phoenix dactylifera;,Group: SWEETS AND GOURMAND SMELLS
Donut or Doughnut,N/A,Group: SWEETS AND GOURMAND SMELLS
Dulce de Leche,N/A,Group: SWEETS AND GOURMAND SMELLS
Eggnog,N/A,Group: SWEETS AND GOURMAND SMELLS
Fougassette,N/A,Group: SWEETS AND GOURMAND SMELLS
French Pastries,N/A,Group: SWEETS AND GOURMAND SMELLS
Frosting [Glacé],N/A,Group: SWEETS AND GOURMAND SMELLS
Gelatin,Colágeno;,Group: SWEETS AND GOURMAND SMELLS
Gianduia,N/A,Group: SWEETS AND GOURMAND SMELLS
