note,other_group,group
Snakeroot,Rauvolfia serpentine; Other names: Devil pepper,Group: FLOWERS
Snow Lotus,Saussurea;,Group: FLOWERS
Snowdrops,Galanthus nivalis;,Group: FLOWERS
Solomon's Seal,Polygonatum Multiflorum;,Group: FLOWERS
Sour Cherry Blossom,N/A,Group: FLOWERS
Spanish Broom,Genista juncea;,Group: FLOWERS
Spiraea,Spiraea; Other names: Meadowsweet,Group: FLOWERS
St. John's Wort,Hypericum perforatum;,Group: FLOWERS
Starflower,Trientalis Borealis;,Group: FLOWERS
Strawberry Flower,N/A,Group: FLOWERS
Strelitzia,"Strelitziaceae, Strelitzia Reginae; Other names: Bird of Paradise, Crane flower",Group: FLOWERS
Strobilanthes Callosa,"Strobilanthes Callosa; Other names: Nium-Horm, Karvy, Maruadona",Group: FLOWERS
Sunflower,Helianthus annuus;,Group: FLOWERS
Sweet Pea,Lathyrus odoratus (Fabaceae);,Group: FLOWERS
Taif Rose,Rosa damascena trigintipetala;,Group: FLOWERS
Tamarisk,Tamarix L.;,Group: FLOWERS
Tobacco Blossom,Nicotiana Alata;,Group: FLOWERS
Transparent Flowers,N/A,Group: FLOWERS
Trillium,N/A,Group: FLOWERS
Tulip,N/A,Group: FLOWERS
Vanilla Bahiana,Vanilla Bahiana Hoehne;,Group: FLOWERS
Viburnum,Viburnum L.;,Group: FLOWERS
Violet,Viola odorata;,Group: FLOWERS
Violet Woodsorrel,Oxalis violacea;,Group: FLOWERS
Wallflower,Erysimum;,Group: FLOWERS
Waratah,Telopea Speciosissima;,Group: FLOWERS
Water Flowers,N/A,Group: FLOWERS
Water Hyacinth,"Eichhornia, family Pontederiaceae;",Group: FLOWERS
Water Lily,N/A,Group: FLOWERS
Weeping Cherry Blossom,Cerasus itosakura;,Group: FLOWERS
White Dahlia,Dahlia Coltness Sortida;,Group: FLOWERS
White Ginger Lily,"Hedychium coronarium; Other names: White Garland Lily, Butterfly Ginger",Group: FLOWERS
White Lace Flower,Orlaya Grandiflora;,Group: FLOWERS
White Tea Blossom,N/A,Group: FLOWERS
Wildflowers,N/A,Group: FLOWERS
Wisteria,"Wisteria floribunda; Other names: Glycine, Wysteria",Group: FLOWERS
Wrightia,Wrightia Antidysenterica; Other names: Asian Snow Jasmine,Group: FLOWERS
Yellow Bells,Tecoma Stans;,Group: FLOWERS
Yellow Flowers,N/A,Group: FLOWERS
Ylang-Ylang,N/A,Group: FLOWERS
Yuzu Flower,N/A,Group: FLOWERS
Zinnia,Zínnia;,Group: FLOWERS
Arum Lily,"Zantedeschia, family Araceae; Other names: Calla Lily, Calla, Easter Lily",Group: WHITE FLOWERS
Belanis,N/A,Group: WHITE FLOWERS
Black Locust,Robinia Pseudoacacia;,Group: WHITE FLOWERS
Boronia,Boronia megastigma;,Group: WHITE FLOWERS
Carissa,Carissa Macrocarpa;,Group: WHITE FLOWERS
Datura,Brugmansia;,Group: WHITE FLOWERS
Frangipani,Plumeria rubra (Apocyanaceae); Other names: plumeria,Group: WHITE FLOWERS
Gardenia,"Gardenia; Other names: Gardinia, Cape Jasmine",Group: WHITE FLOWERS
Grapefruit Blossom,Cītrus Paradīsi;,Group: WHITE FLOWERS
Honeysuckle,Caprifoliaceae;,Group: WHITE FLOWERS
Jasmine,Jasminum Grandiflorum (Oleaceae);,Group: WHITE FLOWERS
Karo-Karounde,Leptactina Senegambica;,Group: WHITE FLOWERS
Lemon Blossom,Citrus limon;,Group: WHITE FLOWERS
Lily,Lilium (Liliaceae);,Group: WHITE FLOWERS
Mandarin Orange Blossom,Cītrus Reticulāta;,Group: WHITE FLOWERS
Melati,"Echites caryophyllata, Aganosma caryophyllata;",Group: WHITE FLOWERS
Mock Orange,Philadelphus Coronarius; Other names: Philadelphus,Group: WHITE FLOWERS
Moon Flower,Ipomoea Alba;,Group: WHITE FLOWERS
Night Blooming Cereus,Peniocereus Greggii;,Group: WHITE FLOWERS
Orange Blossom,Citrus aurantium;,Group: WHITE FLOWERS
Stephanotis,N/A,Group: WHITE FLOWERS
Syringa,Philadelphus;,Group: WHITE FLOWERS
Tiare Flower,Gardenia tahitensis (Rubiaceae);,Group: WHITE FLOWERS
