note,other_group,group
Tuberose,Polianthes tuberosa;,Group: WHITE FLOWERS
White Flowers,N/A,Group: WHITE FLOWERS
White Tobacco,Nicotiana Suaveolens;,Group: WHITE FLOWERS
Agave,"Agave tequilana; Other names: Blue agave, tequila agave","Group: GREENS, HERBS AND FOUGERES"
Algae,Filo Chlorophyta;,"Group: GREENS, HERBS AND FOUGERES"
Aloe Vera,Asphodelaceae;,"Group: GREENS, HERBS AND FOUGERES"
Ammophila (Beach Grass),Ammophila Arenaria;,"Group: GREENS, HERBS AND FOUGERES"
Angelica,Archangelica officinalis;,"Group: GREENS, HERBS AND FOUGERES"
Angelica Root,Angelica Archangelica;,"Group: GREENS, HERBS AND FOUGERES"
Arnica,"Arnica montana; Other names: Wolf's bane, Leopard's bane","Group: GREENS, HERBS AND FOUGERES"
Aromatic Notes,N/A,"Group: GREENS, HERBS AND FOUGERES"
Artemisia,"Artemisia absinthium; Other names: wormwood, davana","Group: GREENS, HERBS AND FOUGERES"
Asparagus,Asparagus Officinalis;,"Group: GREENS, HERBS AND FOUGERES"
N/A,Camellia Sinensis;,"Group: GREENS, HERBS AND FOUGERES"
Avocado,Persea americana;,"Group: GREENS, HERBS AND FOUGERES"
Banana Leaf,Musa paradisiaca ssp. sapientum;,"Group: GREENS, HERBS AND FOUGERES"
Barley,Hordeum vulgare;,"Group: GREENS, HERBS AND FOUGERES"
Barrenwort,Epimedium;,"Group: GREENS, HERBS AND FOUGERES"
Basil,Ocimum basilicum;,"Group: GREENS, HERBS AND FOUGERES"
Bay Essence,Pimenta Racemosa;,"Group: GREENS, HERBS AND FOUGERES"
Beachheather,"Hudsonia tomentosa; Other names: sand heather, beach heather","Group: GREENS, HERBS AND FOUGERES"
Betel Leaf,Piper Betle;,"Group: GREENS, HERBS AND FOUGERES"
Bigarane™,N/A,"Group: GREENS, HERBS AND FOUGERES"
Black Currant Leaf,N/A,"Group: GREENS, HERBS AND FOUGERES"
Blackberry Leaf,N/A,"Group: GREENS, HERBS AND FOUGERES"
Blue Bugle,"Ajuga reptans; Other names: Bugle, Ajuga, Bugleweed, St. Lawrence plant","Group: GREENS, HERBS AND FOUGERES"
Borage,"Borago officinalis; Other names: Starflower, Borago","Group: GREENS, HERBS AND FOUGERES"
Borneol,Borneolum; Other names: Borneo Camphor,"Group: GREENS, HERBS AND FOUGERES"
Bran,N/A,"Group: GREENS, HERBS AND FOUGERES"
Buchu or Agathosma,Agathosma;,"Group: GREENS, HERBS AND FOUGERES"
Buckwheat,Fagopyrum Esculentum;,"Group: GREENS, HERBS AND FOUGERES"
