note,other_group,group
Gourmand Accord,N/A,Group: SWEETS AND GOURMAND SMELLS
Griotte Cherries,N/A,Group: SWEETS AND GOURMAND SMELLS
Halva,N/A,Group: SWEETS AND GOURMAND SMELLS
Hazelnut Cocoa Spread,N/A,Group: SWEETS AND GOURMAND SMELLS
Honey,N/A,Group: SWEETS AND GOURMAND SMELLS
Honeycomb,N/A,Group: SWEETS AND GOURMAND SMELLS
Horchata,N/A,Group: SWEETS AND GOURMAND SMELLS
Ice cream,N/A,Group: SWEETS AND GOURMAND SMELLS
Icing Pink,N/A,Group: SWEETS AND GOURMAND SMELLS
Jelly,FO 1943;,Group: SWEETS AND GOURMAND SMELLS
Jellybean,N/A,Group: SWEETS AND GOURMAND SMELLS
Kulfi,N/A,Group: SWEETS AND GOURMAND SMELLS
Lemon Pie,N/A,Group: SWEETS AND GOURMAND SMELLS
Loukhoum,N/A,Group: SWEETS AND GOURMAND SMELLS
Macarons,N/A,Group: SWEETS AND GOURMAND SMELLS
Maple Syrup,N/A,Group: SWEETS AND GOURMAND SMELLS
Maraschino Cherry,N/A,Group: SWEETS AND GOURMAND SMELLS
Marmalade,N/A,Group: SWEETS AND GOURMAND SMELLS
Marron Glacé,N/A,Group: SWEETS AND GOURMAND SMELLS
Marshmallow,N/A,Group: SWEETS AND GOURMAND SMELLS
Marzipan,marzapane; Other names: almond paste,Group: SWEETS AND GOURMAND SMELLS
Meringues,N/A,Group: SWEETS AND GOURMAND SMELLS
Milk Cream,N/A,Group: SWEETS AND GOURMAND SMELLS
Milk Mousse,N/A,Group: SWEETS AND GOURMAND SMELLS
Milkshake,N/A,Group: SWEETS AND GOURMAND SMELLS
Molasses,N/A,Group: SWEETS AND GOURMAND SMELLS
Nougat,N/A,Group: SWEETS AND GOURMAND SMELLS
Nutella,N/A,Group: SWEETS AND GOURMAND SMELLS
Oatmilk,N/A,Group: SWEETS AND GOURMAND SMELLS
Palm Sugar,N/A,Group: SWEETS AND GOURMAND SMELLS
Pancake,N/A,Group: SWEETS AND GOURMAND SMELLS
Panettone,N/A,Group: SWEETS AND GOURMAND SMELLS
Panna Cotta,N/A,Group: SWEETS AND GOURMAND SMELLS
Pastiera Napoletana,N/A,Group: SWEETS AND GOURMAND SMELLS
Peach Cream,N/A,Group: SWEETS AND GOURMAND SMELLS
Pear Ice Cream,N/A,Group: SWEETS AND GOURMAND SMELLS
Popcorn,N/A,Group: SWEETS AND GOURMAND SMELLS
Praline,N/A,Group: SWEETS AND GOURMAND SMELLS
Profiterole,N/A,Group: SWEETS AND GOURMAND SMELLS
Pudding,N/A,Group: SWEETS AND GOURMAND SMELLS
Puff Pastry,N/A,Group: SWEETS AND GOURMAND SMELLS
Rainbow Sorbet,N/A,Group: SWEETS AND GOURMAND SMELLS
Red Fruits Sorbet,N/A,Group: SWEETS AND GOURMAND SMELLS
Rice Pudding,N/A,Group: SWEETS AND GOURMAND SMELLS
Rose Jam,N/A,Group: SWEETS AND GOURMAND SMELLS
Sacher Torte,N/A,Group: SWEETS AND GOURMAND SMELLS
Sorbet,N/A,Group: SWEETS AND GOURMAND SMELLS
Souffle,N/A,Group: SWEETS AND GOURMAND SMELLS
Sprinkles,N/A,Group: SWEETS AND GOURMAND SMELLS
Spun Sugar,N/A,Group: SWEETS AND GOURMAND SMELLS
Strawberry Syrup,N/A,Group: SWEETS AND GOURMAND SMELLS
Sugar,Saccharum Officinarum;,Group: SWEETS AND GOURMAND SMELLS
Sugar Syrup,N/A,Group: SWEETS AND GOURMAND SMELLS
Tartine,N/A,Group: SWEETS AND GOURMAND SMELLS
Tiramisu,N/A,Group: SWEETS AND GOURMAND SMELLS
Toast,N/A,Group: SWEETS AND GOURMAND SMELLS
Toffee,N/A,Group: SWEETS AND GOURMAND SMELLS
Tropézienne Tarte,N/A,Group: SWEETS AND GOURMAND SMELLS
Vanilla Caviar,N/A,Group: SWEETS AND GOURMAND SMELLS
Waffle,N/A,Group: SWEETS AND GOURMAND SMELLS
White Chocolate,N/A,Group: SWEETS AND GOURMAND SMELLS
White Chocolate Truffle,N/A,Group: SWEETS AND GOURMAND SMELLS
Whoopie Pie,N/A,Group: SWEETS AND GOURMAND SMELLS
Yogurt,N/A,Group: SWEETS AND GOURMAND SMELLS
Zefir,N/A,Group: SWEETS AND GOURMAND SMELLS
Agarwood (Oud),Aquilaria agallocha i A. malaccensis (Thymelaeaceae);,Group: WOODS AND MOSSES
Akigalawood,N/A,Group: WOODS AND MOSSES
Alder,Alnus Serrulata; Other names: Alnus,Group: WOODS AND MOSSES
Almond tree,Prunus dulcis;,Group: WOODS AND MOSSES
Amaranth,Amaranthus; Other names: Amaranthus,Group: WOODS AND MOSSES
Amburana Bark,Commiphora Leptophloeos;,Group: WOODS AND MOSSES
Amburana Wood,Commiphora Leptophloeos;,Group: WOODS AND MOSSES
Amyris,Amyris balsamifera; Other names: Torchwood,Group: WOODS AND MOSSES
Apple Tree,Malus domestica;,Group: WOODS AND MOSSES
Araucaria,Araucaria araucana;,Group: WOODS AND MOSSES
Araucaria,Araucaria angustifolia;,Group: WOODS AND MOSSES
"Arbutus (Madrona, Bearberry Tree)",Arbutus Menziesii;,Group: WOODS AND MOSSES
Argan Tree,Argania spinosa;,Group: WOODS AND MOSSES
Aspen,Populus; Other names: Populus,Group: WOODS AND MOSSES
