note,other_group,group
Australian Blue Cypress,Callitris Intratropica;,Group: WOODS AND MOSSES
Bamboo,"Poaceae, subfamily Bambusoideae;",Group: WOODS AND MOSSES
Bark,N/A,Group: WOODS AND MOSSES
Beech,Fagus;,Group: WOODS AND MOSSES
Belambra Tree,"Phytolacca Dioica; Other names: Ombu, Bellhambra",Group: WOODS AND MOSSES
Birch,"Betula, family Betulaceae; Other names: White Birch, Silver Birch",Group: WOODS AND MOSSES
Black Hemlock or Tsuga,Tsuga;,Group: WOODS AND MOSSES
Black Spruce,Picea Mariana;,Group: WOODS AND MOSSES
Blackwood,Dalbergia latifolia;,Group: WOODS AND MOSSES
Blonde Woods,"Bagassa Guianensis Aubl., Moraceae;",Group: WOODS AND MOSSES
Brazilian Rosewood,"Aniba Rosaeodora; Other names: Bois de Rose,Pau Rosa,",Group: WOODS AND MOSSES
Buddha Wood,N/A,Group: WOODS AND MOSSES
Buxus,Buxaceae;,Group: WOODS AND MOSSES
Cabreuva,Myrocarpus fastigiatus;,Group: WOODS AND MOSSES
Cambodian Oud,Aquilaria agallocha;,Group: WOODS AND MOSSES
Canadian Balsam,Abies Balsamea;,Group: WOODS AND MOSSES
Carob Tree,Ceratonia Siliqua;,Group: WOODS AND MOSSES
Cascarilla,Croton Eluteria; Other names: Croton,Group: WOODS AND MOSSES
Cashmir wood,N/A,Group: WOODS AND MOSSES
Cedar,"Cedrus, family Pinaceae;",Group: WOODS AND MOSSES
