note,other_group,group
Blue Margarita,N/A,Group: BEVERAGES
Boozy Notes,N/A,Group: BEVERAGES
Bourbon Whiskey,N/A,Group: BEVERAGES
Cachaça,N/A,Group: BEVERAGES
Caipirinha,N/A,Group: BEVERAGES
Campari,N/A,Group: BEVERAGES
Cappuccino,Cappuccino;,Group: BEVERAGES
Champagne,N/A,Group: BEVERAGES
Champagne Rosé,N/A,Group: BEVERAGES
Cherry Liqueur,N/A,Group: BEVERAGES
Chinotto,N/A,Group: BEVERAGES
Coca-Cola,N/A,Group: BEVERAGES
Cocktail Fruits,N/A,Group: BEVERAGES
Cognac,N/A,Group: BEVERAGES
Cognac,N/A,Group: BEVERAGES
Cosmopolitan Cocktail,N/A,Group: BEVERAGES
Cream Soda,N/A,Group: BEVERAGES
Curaçao,N/A,Group: BEVERAGES
Daiquiri,N/A,Group: BEVERAGES
Eau de Vie,N/A,Group: BEVERAGES
Espresso,N/A,Group: BEVERAGES
Fruit Tea,N/A,Group: BEVERAGES
Gin,N/A,Group: BEVERAGES
Grenadine,N/A,Group: BEVERAGES
Hi-Fi,N/A,Group: BEVERAGES
Ice Wine,N/A,Group: BEVERAGES
Jasmine Tea,N/A,Group: BEVERAGES
Kava Drink,N/A,Group: BEVERAGES
Kir Royal,N/A,Group: BEVERAGES
Lemon Soda,N/A,Group: BEVERAGES
Lemonade,N/A,Group: BEVERAGES
Limoncello,N/A,Group: BEVERAGES
Liquor,N/A,Group: BEVERAGES
Macchiato,N/A,Group: BEVERAGES
Madeira,N/A,Group: BEVERAGES
Mai Tai Cocktail,N/A,Group: BEVERAGES
Margarita,N/A,Group: BEVERAGES
Martini,N/A,Group: BEVERAGES
Masala Chai,N/A,Group: BEVERAGES
Mezcal,N/A,Group: BEVERAGES
Midori,N/A,Group: BEVERAGES
Mocha,N/A,Group: BEVERAGES
Mojito,N/A,Group: BEVERAGES
Moscow Mule,N/A,Group: BEVERAGES
Mulled Wine,N/A,Group: BEVERAGES
Orange Soda,N/A,Group: BEVERAGES
Ouzo,N/A,Group: BEVERAGES
Pina Colada,N/A,Group: BEVERAGES
Pisco Sour Cocktail,N/A,Group: BEVERAGES
Plum Wine,N/A,Group: BEVERAGES
Port Wine,N/A,Group: BEVERAGES
Prosecco,N/A,Group: BEVERAGES
Punch,N/A,Group: BEVERAGES
Raki,N/A,Group: BEVERAGES
Rhum Agricole,N/A,Group: BEVERAGES
Rice Water,N/A,Group: BEVERAGES
Rum,N/A,Group: BEVERAGES
Sake,N/A,Group: BEVERAGES
Sangria,N/A,Group: BEVERAGES
Sparkling Water,N/A,Group: BEVERAGES
Sparkling Wine,N/A,Group: BEVERAGES
Syrup,N/A,Group: BEVERAGES
Tequila,N/A,Group: BEVERAGES
Tokaji Wine,N/A,Group: BEVERAGES
N/A,N/A,Group: BEVERAGES
Umeshu,Umeshu;,Group: BEVERAGES
Vermouth,N/A,Group: BEVERAGES
Vodka,N/A,Group: BEVERAGES
Whiskey,N/A,Group: BEVERAGES
White Wine,N/A,Group: BEVERAGES
Wine Lees,N/A,Group: BEVERAGES
Pepperwood™,Dimethylcarbamate;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Accord Eudora®,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Alcantara Accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Aldambre,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Aldehydes,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Aluminum,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ambreine,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ambrinol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ambrofix™,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
AMBROX® SUPER,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ammonia,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Amyl Salicylate,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Antillone™,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Aqual™,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Aquozone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ash,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Asphalt,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Azarbre,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Black Diamond,C;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Black Leather,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Blood,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Boisiris,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Bourgeonal,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Brick,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
N/A,N/A,N/A
Burnt Match,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
