note,other_group,group
Cotton Flower,Gossypium;,Group: FLOWERS
Creamy Flowers,N/A,Group: FLOWERS
Crinum Lily,Crinum augustum;,Group: FLOWERS
Cucumber Flower,Cucumis Sativus L.;,Group: FLOWERS
Cyclamen,Cyclamen;,Group: FLOWERS
Dahlia,Dahlia;,Group: FLOWERS
Daisy,Leucanthemum vulgare;,Group: FLOWERS
Dandelion,Taraxacum;,Group: FLOWERS
Daphne,Daphne;,Group: FLOWERS
Daylily,Hemerocallis Hybrid;,Group: FLOWERS
Deadnettle,"Lamium purpureum; Other names: purple archangel, velikdenche",Group: FLOWERS
Delonix,Delonix Regia;,Group: FLOWERS
Desert Rose,Adenium obesum;,Group: FLOWERS
Dianthus,Dianthus;,Group: FLOWERS
Dogwood Blossom,Cornus Florida;,Group: FLOWERS
Dove Tree,Davidia involucrata;,Group: FLOWERS
Dried Rose,N/A,Group: FLOWERS
Dyer's Greenweed,Genista tinctoria; Other names: Dyer's Broom,Group: FLOWERS
Edelweiss,N/A,Group: FLOWERS
Eglantine Rose,"Rosa Rubiginosa; Other names: Sweet Brier, Dog Rose",Group: FLOWERS
Elderflower,Sambucus nigra (Caprifoliaceae); Other names: Black Elder,Group: FLOWERS
Encian,Gentiana;,Group: FLOWERS
English Marigold,Tagetes Patula; Other names: Calendula,Group: FLOWERS
Erigeron (Fleabane),Erigeron glaucus;,Group: FLOWERS
Euphorbia,Euphorbia Serrata L.;,Group: FLOWERS
Eustoma | Lisianthus,Eustoma Grandiflorum;,Group: FLOWERS
Evergreen,N/A,Group: FLOWERS
Field Scabious,Knautia arvensis;,Group: FLOWERS
Fig Blossom,Ficus Carica;,Group: FLOWERS
Fire Lily,Lilium Bulbiferum;,Group: FLOWERS
Flamingo Flower (Anthurium),N/A,Group: FLOWERS
Flax,Linum usitatissimum; Other names: linseed,Group: FLOWERS
Floral Notes,N/A,Group: FLOWERS
Forget Me Not,Myosotis;,Group: FLOWERS
Fragonia,Agonis fragrans;,Group: FLOWERS
Freesia,Freesia Refracta (Iridaceae);,Group: FLOWERS
Fringed Pink,Dianthus Superbus;,Group: FLOWERS
Fuchsia,Fuchsia;,Group: FLOWERS
Geranium,"Pelargonium Graveolens; Other names: pelargonium, rose geranium",Group: FLOWERS
Gerbera,Asteraceae; Other names: Gerber Daisy,Group: FLOWERS
Gladiolus,gladiolus;,Group: FLOWERS
Goldenrod,Solidago; Other names: Solidago,Group: FLOWERS
Gorse,Ulex; Other names: Furze,Group: FLOWERS
Grapeflower,N/A,Group: FLOWERS
Great Burnet,Sanguisorba Officinalis;,Group: FLOWERS
Green Nard,Nardostachys Jatamansi;,Group: FLOWERS
Green Tea Flower,N/A,Group: FLOWERS
Grevillea,Grevillea Banksii;,Group: FLOWERS
Guava Blossom,Psidium Guajava;,Group: FLOWERS
Guayacan,Guaiacum Coulteri;,Group: FLOWERS
Gustavia Flower,Gustavia Augusta;,Group: FLOWERS
Hawthorn,Crataegus monogyna (Rosaceae);,Group: FLOWERS
Hazel Blossom,Corylus avellana;,Group: FLOWERS
Heather,Calluna Vulgaris;,Group: FLOWERS
Heliotrope,Heliotropium arborescens (Boraginaceae);,Group: FLOWERS
Hellabore Flower,Helleborus odorus;,Group: FLOWERS
Hemlock,Conium maculatum;,Group: FLOWERS
Hibiscus,N/A,Group: FLOWERS
Hoary Stock,Matthiola incana;,Group: FLOWERS
Holly Flower,Ilex aquifolium;,Group: FLOWERS
Hollyhock,Malvarosa;,Group: FLOWERS
Honeybush or Cyclopia,Cyclopia meyeriana;,Group: FLOWERS
N/A,N/A,Group: FLOWERS
Hortensia,Hydrangea hortensis;,Group: FLOWERS
Hoya Carnosa Wax Plant,Hoya carnosa;,Group: FLOWERS
Hyacinth,"Hyacinthus orientalis; Other names: bluebell, jacinthe",Group: FLOWERS
Hyssop,Lamiaceae;,Group: FLOWERS
Impatiens,Impatiens;,Group: FLOWERS
Inula,Inula; Other names: Inule,Group: FLOWERS
Iris,Iris;,Group: FLOWERS
Iris Butter,Iris Sibirica;,Group: FLOWERS
Iris Pallida,Iris Pallida;,Group: FLOWERS
Jacaranda,N/A,Group: FLOWERS
Jade Flower,"Crassula ovata; Other names: jade plant, friendship tree, lucky plant, money tree",Group: FLOWERS
Jasmine Orchid,Dendrobium Jasmine; Other names: Dendrobium Jasmine,Group: FLOWERS
Jujube Blossom,"Ziziphus Spina-Christi; Other names: Sidr Tree, Nabkh Tree, Christ's Thorn, Lote Tree",Group: FLOWERS
Kadam,Anthocephalus cadamba; Other names: cadamba,Group: FLOWERS
Kangaroo Paw,Anigozanthos Flavidus;,Group: FLOWERS
Kanuka,Kunzea ericoides;,Group: FLOWERS
Karmaflor®,N/A,Group: FLOWERS
Kiwi blossom,N/A,Group: FLOWERS
Kudzu,Pueraria lobata;,Group: FLOWERS
Laburnum,Laburnum anagyroides;,Group: FLOWERS
Lady of the Night Flower,Epiphyllum Oxipetalum;,Group: FLOWERS
Lady Slipper Orchid,Cypripedium Calceolus; Other names: Scarpetta di Venere,Group: FLOWERS
Lamduan Flower,"Melodorum Fruticosum; Other names: White Cheesewood Flower, Rumdul, Romduol",Group: FLOWERS
Lamprocapnos,Lamprocapnos spectabilis;,Group: FLOWERS
Lantana,Lantana Camara;,Group: FLOWERS
Larkspur,Delphinium;,Group: FLOWERS
Laurel Blossom,N/A,Group: FLOWERS
Lavender,N/A,Group: FLOWERS
Leatherwood,Eucryphia lucida;,Group: FLOWERS
Ledum,Ledum Groenlandicum;,Group: FLOWERS
Liatris,"Liatris; Other names: Liatrix, Deerstongue, Wild Vanilla",Group: FLOWERS
Liatrix,N/A,Group: FLOWERS
