note,other_group,group
Calone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Calypsone,Calypsone;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Candle Wax,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Canvas,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Caoutchouc,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cascalone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cashalox,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cashmeran,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cetonal®,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Chalk,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cinnamaldehyde,C9H8O;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Clarycet,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Clay,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
CO2 Extracts,CO2;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Coal,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cobblestone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cocaine,Benzoilmetilecgonina;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Concrete,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Copper,Cu;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Coral Limestone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Coranol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cork,"Quercus suber; Other names: cork oak, cork tree","Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cosmone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Coumarin,Benzopyrone;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Credit Cards,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Crustaceans,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Cyclopidene,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Damascone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Dew Drop,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Dihydromyrcenol,C¹ºH²ºO;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Dirt,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Dodecanal,Dodecanal;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Dust,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Earth Tincture,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Earthy Notes,Earthy Notes;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Egg,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ember,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ethyl Maltol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Eugenol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Evernyl,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Fabric,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Factor X,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Fire,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Fish,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Flint,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Floralozone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Flour,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Galaxolide,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Gasoline,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Georgywood,Georgyone;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Geosmin,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Gold,Au;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Graphite,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Guaiacol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Gunpowder,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hair Pomade,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hand Cream,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Head Space Waterfall,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Healingwood,Pogostemon cablin (Blanco) Benth | IFF;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hedione,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Helvetolide,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hexenyl Green,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hexyl Acetate,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hina,Shamama;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hivernal®,Hivernal® Neo;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Holy Water,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Hot Iron,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ice,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Indole,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Industrial Glue,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ink,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Instant Film Accord,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Ionones,C13H20O;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Iso E Super,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Jasmolactone,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Jasmone,C11H16O;,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Javanol,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Jeans,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lacquered Wood,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lactones,(−C(=O)−O−);,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
latex,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lilybelle®,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Linen,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lip Gloss,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lipstick,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Little Doll Strawberry,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Lorenox,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Magnolan,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Mascarpone Cheese,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Melonal,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Metallic Notes,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
Mitti Attar,N/A,"Group: NATURAL AND SYNTHETIC, POPULAR AND WEIRD"
