note,other_group,group
Sarsaparilla,Smilax ornata;,"Group: FRUITS, VEGETABLES AND NUTS"
Sea Buckthorn,"Hippophae; Other names: Sandthorn, Sallowthorn, Seaberry","Group: FRUITS, VEGETABLES AND NUTS"
Seriguela,Spondias Purpurea;,"Group: FRUITS, VEGETABLES AND NUTS"
Shea Butter,Vitellaria Paradoxa;,"Group: FRUITS, VEGETABLES AND NUTS"
Shea Nuts,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Silverberry,Elaeagnus Commutata; Other names: Wolf-Willow,"Group: FRUITS, VEGETABLES AND NUTS"
Snowberry,Symphoricarpos;,"Group: FRUITS, VEGETABLES AND NUTS"
Sour Cherry,"family Rosaceae, genus Prunus;","Group: FRUITS, VEGETABLES AND NUTS"
Soursop,Annona muricata;,"Group: FRUITS, VEGETABLES AND NUTS"
N/A,N/A,N/A
Squash,Cucurbita;,"Group: FRUITS, VEGETABLES AND NUTS"
Star Apple,Chrysophyllum Cainito;,"Group: FRUITS, VEGETABLES AND NUTS"
Strawberry,Fragaria;,"Group: FRUITS, VEGETABLES AND NUTS"
Tayberry,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Tomato,Solanum lycopersicum;,"Group: FRUITS, VEGETABLES AND NUTS"
Tropical Fruits,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Tropicalone,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Tucumã,Astrocaryum Vulgare;,"Group: FRUITS, VEGETABLES AND NUTS"
Walnut,Genus: Juglans;,"Group: FRUITS, VEGETABLES AND NUTS"
Walnut Milk,Juglans regia L.;,"Group: FRUITS, VEGETABLES AND NUTS"
Water Fruit,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Watermelon,Cucurbitaceae familly;,"Group: FRUITS, VEGETABLES AND NUTS"
Wattleseed,"Acacia Victoriae; Other names: gundabluie, bardi bush","Group: FRUITS, VEGETABLES AND NUTS"
White Currant,"Genus: Ribes alba, family Grossulariaceae;","Group: FRUITS, VEGETABLES AND NUTS"
White Grape,Vitis Labrusca;,"Group: FRUITS, VEGETABLES AND NUTS"
Wild Strawberry,Fragaria Vesca (Rosaceae);,"Group: FRUITS, VEGETABLES AND NUTS"
Williams Pear,Pyrus Communis 'Williams';,"Group: FRUITS, VEGETABLES AND NUTS"
Winterberry,Ilex verticillata;,"Group: FRUITS, VEGETABLES AND NUTS"
Wolfberry,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Yellow Cherry,Cerasus; Other names: Rainier cherry,"Group: FRUITS, VEGETABLES AND NUTS"
Yellow Fruits,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Yuca Cassava,N/A,"Group: FRUITS, VEGETABLES AND NUTS"
Yumberry,Myrica Rubra;,"Group: FRUITS, VEGETABLES AND NUTS"
Acacia,Acacia Farnesiana; Other names: Cassie Flower,Group: FLOWERS
Acerola Blossom,Malpighia emarginata;,Group: FLOWERS
