note,other_group,group
Aglaia,aglaia odorata;,Group: FLOWERS
Albizia,Albizia Julibrissin;,Group: FLOWERS
Almond Blossom,Prunus amygdalis var. amara (Rosaceae);,Group: FLOWERS
Alpinia,Alpinia Purpurata;,Group: FLOWERS
Alstroemeria,Híbrido Alstroemeria-Aurea;,Group: FLOWERS
Althaea,Althaea Officinalis; Other names: marshmallow root,Group: FLOWERS
Alumroot,"Heuchera; Other names: Heuchera, Coral bells",Group: FLOWERS
Alyssum,Alyssum montanum;,Group: FLOWERS
Amarillys,Amaryllis aulicum;,Group: FLOWERS
Amazon Moonflower,Selenicereus Wittii;,Group: FLOWERS
Anemone,Anemone coronaria;,Group: FLOWERS
Angel's Trumpet,Brugmansia;,Group: FLOWERS
Apple Blossom,Malus domestica;,Group: FLOWERS
Apricot Blossom,N/A,Group: FLOWERS
Ashoka Flower,Saraca Asoca; Other names: Ashok Flower,Group: FLOWERS
Astragalus,Astragalus Propinquus;,Group: FLOWERS
Azalea,N/A,Group: FLOWERS
Azteca Lily,Sprekelia Formosissima;,Group: FLOWERS
Banana Flower,N/A,Group: FLOWERS
Banksia Australian,Banksia;,Group: FLOWERS
Begonia,Begonia;,Group: FLOWERS
Belladona,Atropa belladonna; Other names: Deadly Nightshade,Group: FLOWERS
Bellflower,Campanula; Other names: Harebell,Group: FLOWERS
Bird cherry,Prunus Padus;,Group: FLOWERS
Black Currant Blossom,"Ribes nigrum, R. sanguineum (Grossulariaceae);",Group: FLOWERS
Blackberry Blossom,Rubus plicatus;,Group: FLOWERS
Blue Lilies,"Agapanthus praecox, Nymphaea caerulea, Nymphaea violacea, Stypandra glauca, Thelionema caespitosum, Triteleia grandiflora;",Group: FLOWERS
Bluebell,Hyacinthoides Non-Scripta; Other names: Formerly called Endymion non-scriptus or Scilla non-scripta.,Group: FLOWERS
Bottlebrush,Callistemon Spp.; Other names: Callistemon,Group: FLOWERS
Bougainvillea,Bougainvillea;,Group: FLOWERS
Bread Flower,"Vallaris Glabra; Other names: Chommanar, Bread Flower, Kesidang",Group: FLOWERS
Bromelia,Bromelia;,Group: FLOWERS
Buddleia,Buddleia davidii;,Group: FLOWERS
Butomus Umbellatus,Butomus Umbellatus;,Group: FLOWERS
Buttercup,Ranunculus;,Group: FLOWERS
Cacao Blossom,Theobroma Cacao;,Group: FLOWERS
Calla Lily,Zantedeschia Aethiopica;,Group: FLOWERS
Camellia,Camellia Japonica;,Group: FLOWERS
Campion Flower,Silene dioica;,Group: FLOWERS
Cananga,cananga odorata;,Group: FLOWERS
Cannonball Flower,Couroupita Guianensis;,Group: FLOWERS
Carambola Blossom,Averrhoa Carambola;,Group: FLOWERS
Cardamom Flower,Elettaria Cardamomum;,Group: FLOWERS
Carnation,N/A,Group: FLOWERS
Celosia,Celosia spicata;,Group: FLOWERS
Chai Hu,Bupleurum Chinense;,Group: FLOWERS
Chamomile,Matricaria chamomilla; Other names: camomile,Group: FLOWERS
Champaca,Michelia champaca;,Group: FLOWERS
Cherry Blossom,"family Rosaceae, genus Prunus;",Group: FLOWERS
Chimonanthus or Wintersweet,Chimonanthus praecox;,Group: FLOWERS
China Rose,Rosa chinensis;,Group: FLOWERS
Chinotto blossom,Citrus myrtifolia;,Group: FLOWERS
Chocolate Flower,Berlandiera lyrata;,Group: FLOWERS
Christmas Tree or Flame Tree,Nuytsia floribunda;,Group: FLOWERS
Chrysanthemum,"Genus: Chrysanthemum; Other names: Mum, Chrysanth",Group: FLOWERS
Cistus Incanus,Cistus Creticus L.;,Group: FLOWERS
Clematis,Ranunculaceae; Other names: Buttercup,Group: FLOWERS
Clover,"Trifolium Repens (bijela), Trifolium Pratense (crvena);",Group: FLOWERS
Coconut Blossom,Mycena Lacrimans;,Group: FLOWERS
Coffee Blossom,Coffea arabica;,Group: FLOWERS
Cornflower Sultan Seeds,Centaurea moschata;,Group: FLOWERS
Cosmos Flower,Cosmos Sulphureus;,Group: FLOWERS
Costus,Costus;,Group: FLOWERS
