note,other_group,group
Andiroba,Carapa Guianensis;,Group: RESINS AND BALSAMS
Bakhoor,N/A,Group: RESINS AND BALSAMS
Balsamic Notes,N/A,Group: RESINS AND BALSAMS
Balsamic Vinegar,N/A,Group: RESINS AND BALSAMS
Benzoin,"Styrax benzoin, Styrax Tonkiniensis (Styracaceae);",Group: RESINS AND BALSAMS
Birch Tar,N/A,Group: RESINS AND BALSAMS
Bisabolene,N/A,Group: RESINS AND BALSAMS
Bushman Candle,Sarcocaulon Crassicaule; Other names: Groot Kersbos,Group: RESINS AND BALSAMS
Choya Loban,Boswellia serrata;,Group: RESINS AND BALSAMS
Choya Nakh,N/A,Group: RESINS AND BALSAMS
Choya Ral,N/A,Group: RESINS AND BALSAMS
Copahu Balm,"Copaifera Officinalis; Other names: Copaiba, Copahu balsam",Group: RESINS AND BALSAMS
Copaiba Balm,Copaifera Officinalis;,Group: RESINS AND BALSAMS
Copal,N/A,Group: RESINS AND BALSAMS
Dragon Blood Resin,N/A,Group: RESINS AND BALSAMS
Elemi,Canarium luzonicum;,Group: RESINS AND BALSAMS
Estoraque,"Liquidambar styraciflua, Liquidambar orientalis;",Group: RESINS AND BALSAMS
Gurjun Balsam,Dipterocarpus;,Group: RESINS AND BALSAMS
Incense,N/A,Group: RESINS AND BALSAMS
Labdanum,"Cistus ladanifer, Cistus creticus; Other names: ladanum, ladan, ambreine, European rock rose",Group: RESINS AND BALSAMS
Mopane,Colophospermum mopane;,Group: RESINS AND BALSAMS
Myrrh,Commiphora Myrrha;,Group: RESINS AND BALSAMS
Nag Champa,N/A,Group: RESINS AND BALSAMS
Olibanum (Frankincense),Boswellia carterii (Burseraceae);,Group: RESINS AND BALSAMS
Olibanum Sacra Resin Green,Boswellia Carterii;,Group: RESINS AND BALSAMS
Opoponax,"Commiphora Erythraea; Other names: opopanax, sweet myrrh",Group: RESINS AND BALSAMS
Peru Balsam,N/A,Group: RESINS AND BALSAMS
Pine Tar,N/A,Group: RESINS AND BALSAMS
Poplar (Populus) Buds,Populus;,Group: RESINS AND BALSAMS
Resins,N/A,Group: RESINS AND BALSAMS
