note,other_group,group
Rubber,N/A,Group: RESINS AND BALSAMS
Styrax,Styrax Officinalis;,Group: RESINS AND BALSAMS
Surf Wax,N/A,Group: RESINS AND BALSAMS
Tea Tree Oil,"Melaleuca Alternifolia; Other names: Melaleuca, Tea Tree Oil",Group: RESINS AND BALSAMS
Aldron,"4-[(6,6-dimethyl-5-bicyclo[2.2.1]heptanyl)methyl]-2-methylcyclohexan-1-one;","Group: MUSK, AMBER, ANIMALIC SMELLS"
Amber Xtreme,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambertonic™ (IFF),N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrarome,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambretone,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrette (Musk Mallow),Abelmoschus moschatus;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrettolide,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrocenide (Symrise),N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrostar,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambrostar,"(3aS,4aR,5R,7aS,9R,9aR)-2,5,8,8,9a-pentamethyl-2-propyloctahydro-4H-4a,9-methanoazuleno[5,6-d][1,3]dioxole; Other names: 5,7,9,9,13-pentamethyl-5-propyl-4,6-dioxatetracyclo[6.5.1.0]-tetradecane","Group: MUSK, AMBER, ANIMALIC SMELLS"
Ambroxan,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Animal Notes,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Bacon,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
BBQ,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Beeswax,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Carrot Seeds,"Daucus carota (Umbelliferae); Other names: wild carrot, Queen Anne's Lace, Bird's Nest","Group: MUSK, AMBER, ANIMALIC SMELLS"
Castoreum,Castor fiber (Castoridae);,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Caviar,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Cetalox,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Cheese,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Civet,Paradoxurus Hermaphroditus;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Civettone,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Coral Reef,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Daim,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Exaltolide®,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Fur,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Genet,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Goat Hair,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Goat's Milk,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Habanolide®,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Hyraceum,"Hyraceum; Other names: Pierre d'Afrique, Africa Stone","Group: MUSK, AMBER, ANIMALIC SMELLS"
Kephalis,Kephalis;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Leather,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Meat,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Milk,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Musk,Moschus Moschiferus;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Muskrat,Ondatra Zibethicus;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Oysters,Ostreoidea;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Saffiano Leather,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Sea Shells,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Skatole,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Skin,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Starfish,Asteroidea;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Suede,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Tolu Balsam,Myroxolon Toluiferum;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Truffle,Tuberaceae;,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Velvione™,N/A,"Group: MUSK, AMBER, ANIMALIC SMELLS"
Absinthe,N/A,Group: BEVERAGES
Advocaat,N/A,Group: BEVERAGES
Amaretto,N/A,Group: BEVERAGES
Applejack,N/A,Group: BEVERAGES
Baileys Irish Cream,N/A,Group: BEVERAGES
Batida,N/A,Group: BEVERAGES
Beer,N/A,Group: BEVERAGES
Beer/Ale,N/A,Group: BEVERAGES
Bellini,N/A,Group: BEVERAGES
