note,other_group,group
Chalood Bark,N/A,Group: WOODS AND MOSSES
Cherry Tree,N/A,Group: WOODS AND MOSSES
Chinese Oud,Aquilaria Agallocha i A. Malaccensis (Thymelaeaceae);,Group: WOODS AND MOSSES
Chypre Notes,N/A,Group: WOODS AND MOSSES
Clearwood,Clearwood;,Group: WOODS AND MOSSES
Cocobolo,Dalbergia retusa;,Group: WOODS AND MOSSES
Coconut Tree,Cocos Nucifera; Other names: Coconut Palm,Group: WOODS AND MOSSES
Coffee Tree,Gymnocladus Dioicus;,Group: WOODS AND MOSSES
Cork,N/A,Group: WOODS AND MOSSES
Cottonwood (Poplar),Populus;,Group: WOODS AND MOSSES
Cypress,Cupressus (Cupressaceae);,Group: WOODS AND MOSSES
Cypriol Oil or Nagarmotha,Cyperus scariosus;,Group: WOODS AND MOSSES
Dark Patchouli,Pogostemon Cablin;,Group: WOODS AND MOSSES
Ditax wood,"Detarium senegalense; Other names: ditakh, detar, tallow tree",Group: WOODS AND MOSSES
Dreamwood,N/A,Group: WOODS AND MOSSES
Driftwood,N/A,Group: WOODS AND MOSSES
Dry Wood,N/A,Group: WOODS AND MOSSES
Ducke,Caesalpinia Leiostachya;,Group: WOODS AND MOSSES
Ebony Tree,Diospyros Ebenum;,Group: WOODS AND MOSSES
Elm,Ulmus;,Group: WOODS AND MOSSES
Eucalyptus,Eucalyptus globulus (Myrtaceae);,Group: WOODS AND MOSSES
Fig tree,Ficus;,Group: WOODS AND MOSSES
Fir,"Genus Abies, family Pinaceae;",Group: WOODS AND MOSSES
Grass Tree,Xanthorrhoea australis;,Group: WOODS AND MOSSES
Guaiac Wood,"Bulnesia sarmienti; Other names: Palo Santo, Palo Balsamo",Group: WOODS AND MOSSES
Hiba,N/A,Group: WOODS AND MOSSES
Hinoki Wood,Chamaecyparis obtusa;,Group: WOODS AND MOSSES
Ho Wood,N/A,Group: WOODS AND MOSSES
Incienso,Myrocarpus frondosus;,Group: WOODS AND MOSSES
Indian Oud,Aquilaria agallocha;,Group: WOODS AND MOSSES
Indian Sandalwood,N/A,Group: WOODS AND MOSSES
Indian Woods,N/A,Group: WOODS AND MOSSES
Ironwood,Olneya Tesota; Other names: Palo Fierro,Group: WOODS AND MOSSES
"Ishpink, Ocotea Quixos",Ocotea Quixos;,Group: WOODS AND MOSSES
N/A,N/A,Group: WOODS AND MOSSES
Laotian Oud,Aquilaria agallocha;,Group: WOODS AND MOSSES
Larch,Larix decidua;,Group: WOODS AND MOSSES
Lichen,N/A,Group: WOODS AND MOSSES
Liquidambar,Liquidambar Styraciflua;,Group: WOODS AND MOSSES
Mahogany,Swietenia Macrophylla;,Group: WOODS AND MOSSES
Malaysian Oud,Aquilaria Agallocha i A. Malaccensis (Thymelaeaceae);,Group: WOODS AND MOSSES
Mango Tree,N/A,Group: WOODS AND MOSSES
Manuka,Leptospermum scoparium;,Group: WOODS AND MOSSES
Maple,Sapindaceae;,Group: WOODS AND MOSSES
Massoia,Cryptocarya Massoy (Lauraceae);,Group: WOODS AND MOSSES
Mesquite Wood,N/A,Group: WOODS AND MOSSES
Muhuhu,Brachylaena hutchinsii;,Group: WOODS AND MOSSES
Mulberry plant,N/A,Group: WOODS AND MOSSES
Mysore Sandalwood,N/A,Group: WOODS AND MOSSES
Neem,Azadirachta indica;,Group: WOODS AND MOSSES
Nootka,"Cupressus nootkatensis; Other names: Nootka cypress, yellow cypress, Alaska cypress, Nootka cedar, yellow cedar, Alaska cedar",Group: WOODS AND MOSSES
Oak,Quercus;,Group: WOODS AND MOSSES
Oakmoss,"K9ngdom Plantae, division Bryophyta; Other names: Mousse de Chene, treemoss",Group: WOODS AND MOSSES
Olive Tree,Olea europaea;,Group: WOODS AND MOSSES
Palisander Rosewood,N/A,Group: WOODS AND MOSSES
Palo Santo,Bursera graveolens;,Group: WOODS AND MOSSES
Palo Verde Tree,Parkinsonia Aculeata;,Group: WOODS AND MOSSES
Pamplewood,N/A,Group: WOODS AND MOSSES
Paperbark,Melaleuca;,Group: WOODS AND MOSSES
Papyrus,Cyperus papyrus;,Group: WOODS AND MOSSES
Patchouli,Pogostemon Cablin;,Group: WOODS AND MOSSES
Patchouli (Green),Pogostemon Cablin; Other names: Green Patchouli,Group: WOODS AND MOSSES
Pear Tree,Pyrus;,Group: WOODS AND MOSSES
Pepperwood or Hercules Club,Zanthoxylum Clava Herculis;,Group: WOODS AND MOSSES
Pine Tree,"Genus Pinus, family Pinaceae;",Group: WOODS AND MOSSES
Pink Ipê Tree,Handroanthus Heptaphyllus;,Group: WOODS AND MOSSES
Plum Tree,Prunus domestica;,Group: WOODS AND MOSSES
Pua Keni Keni (Pua-Lulu),"Fagraea Berteroana; Other names: Pua Kini Kini, Pua Kenikeni, Perfume Flower Tree, Pua-Lulu",Group: WOODS AND MOSSES
Ravenala,Ravenala Madagascariensis; Other names: Traveller's Tree,Group: WOODS AND MOSSES
Ravensara,Ravensara;,Group: WOODS AND MOSSES
Red Willow,Callistemon Salignus Red;,Group: WOODS AND MOSSES
Redwood,Paubrasilia Echinata;,Group: WOODS AND MOSSES
Saman,"Albizia Saman; Other names: Saman, Rain Tree, Monkeypod",Group: WOODS AND MOSSES
Satinwood,Chloroxylon swietenia;,Group: WOODS AND MOSSES
Sawdust,N/A,Group: WOODS AND MOSSES
Scots pine variant,Pinus sylvestris var. sylvestriformis;,Group: WOODS AND MOSSES
Selaginella tamariscina,Selaginella tamariscina;,Group: WOODS AND MOSSES
Sequoia,Sequoia Sempervirens;,Group: WOODS AND MOSSES
Siam,Siamese cassia; Other names: senna,Group: WOODS AND MOSSES
Siam Wood,Fokienia hodginsii;,Group: WOODS AND MOSSES
Sycamore,Platanus occidentalis;,Group: WOODS AND MOSSES
Takamaka,"Calophyllum Inophyllum; Other names: Tamanu, Mastwood, Beach Calophyllum, Beautyleaf, Sinhala",Group: WOODS AND MOSSES
Tamboti Wood,Spirostachys Africana;,Group: WOODS AND MOSSES
Tatami,N/A,Group: WOODS AND MOSSES
Teak Wood,Tectona;,Group: WOODS AND MOSSES
Thailand Oud,Aquilaria agallocha;,Group: WOODS AND MOSSES
Thanaka Wood,Limonia Acidissima;,Group: WOODS AND MOSSES
Thuja,N/A,Group: WOODS AND MOSSES
Transparent Woods,N/A,Group: WOODS AND MOSSES
Vetiver,"Vetiveria Zizanoid; Other names: vetivert, khus",Group: WOODS AND MOSSES
White Oud,Agarwood White;,Group: WOODS AND MOSSES
White Willow,"Salix Alba; Other names: Sallow, Osier",Group: WOODS AND MOSSES
Wood barrel,N/A,Group: WOODS AND MOSSES
Woody Notes,N/A,Group: WOODS AND MOSSES
Yohimbe,Yohimbine;,Group: WOODS AND MOSSES
Amberwood,N/A,Group: RESINS AND BALSAMS
